Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
29,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,153198,2015-05-20T15:11:03Z,464
30,JavaGuide,https://github.com/Snailclimb/JavaGuide,146376,2018-05-07T13:27:00Z,1363
31,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,145971,2018-06-23T10:43:14Z,213
32,javascript,https://github.com/airbnb/javascript,144985,2012-11-01T23:13:50Z,1532
33,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,141150,2022-08-22T14:05:26Z,3077
34,transformers,https://github.com/huggingface/transformers,133366,2018-10-29T13:56:00Z,17367
35,youtube-dl,https://github.com/ytdl-org/youtube-dl,131830,2010-10-31T14:35:07Z,4450
36,awesome-go,https://github.com/avelino/awesome-go,130534,2014-07-06T13:42:15Z,4542
37,next.js,https://github.com/vercel/next.js,125752,2016-10-05T23:32:51Z,23907
38,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,125407,2020-02-19T09:01:23Z,463
39,go,https://github.com/golang/go,123491,2014-08-19T04:33:40Z,3725
40,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,121471,2017-11-29T17:35:03Z,1614
41,react-native,https://github.com/facebook/react-native,118701,2015-01-09T18:10:16Z,18727
42,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,117973,2016-07-05T05:00:48Z,538
43,electron,https://github.com/electron/electron,113933,2013-04-12T01:47:36Z,23193
44,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,111641,2022-12-05T13:54:13Z,302
45,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,111463,2013-11-04T01:59:19Z,434
46,PowerToys,https://github.com/microsoft/PowerToys,110477,2019-05-01T17:44:02Z,5476
47,kubernetes,https://github.com/kubernetes/kubernetes,110448,2014-06-06T22:56:04Z,80844
48,scrcpy,https://github.com/Genymobile/scrcpy,110323,2017-11-21T18:00:27Z,423
49,d3,https://github.com/d3/d3,108637,2010-09-27T17:22:42Z,1176
50,node,https://github.com/nodejs/node,107180,2014-11-26T19:57:11Z,34487
51,axios,https://github.com/axios/axios,105461,2014-08-18T22:30:27Z,1537
52,create-react-app,https://github.com/facebook/create-react-app,102665,2016-07-17T14:55:11Z,3805
53,three.js,https://github.com/mrdoob/three.js,102207,2010-03-23T18:58:01Z,16727
54,TypeScript,https://github.com/microsoft/TypeScript,100650,2014-06-17T15:28:39Z,17689
55,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,99660,2017-09-15T08:33:19Z,921
56,rust,https://github.com/rust-lang/rust,97673,2010-06-16T20:39:03Z,75854
57,hello-algo,https://github.com/krahets/hello-algo,96693,2022-11-04T11:08:34Z,1057
58,angular,https://github.com/angular/angular,96005,2014-09-18T16:12:01Z,28274
59,deno,https://github.com/denoland/deno,95663,2018-05-15T01:34:26Z,13885
60,terminal,https://github.com/microsoft/terminal,95282,2017-08-11T18:38:22Z,4407
61,material-ui,https://github.com/mui/material-ui,93614,2014-08-18T19:11:54Z,23249
62,langchain,https://github.com/langchain-ai/langchain,93474,2022-10-17T02:58:36Z,15179
63,ollama,https://github.com/ollama/ollama,93257,2023-06-26T19:39:32Z,2135
