Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
28,Python-100-Days,https://github.com/jackfrued/Python-100-Days,155548,2018-03-01T16:05:52Z,152
29,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,153171,2015-05-20T15:11:03Z,464
30,JavaGuide,https://github.com/Snailclimb/JavaGuide,146295,2018-05-07T13:27:00Z,1357
31,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,145627,2018-06-23T10:43:14Z,213
32,javascript,https://github.com/airbnb/javascript,144895,2012-11-01T23:13:50Z,1531
33,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,140934,2022-08-22T14:05:26Z,3076
34,transformers,https://github.com/huggingface/transformers,133180,2018-10-29T13:56:00Z,17336
35,youtube-dl,https://github.com/ytdl-org/youtube-dl,131777,2010-10-31T14:35:07Z,4449
36,awesome-go,https://github.com/avelino/awesome-go,130253,2014-07-06T13:42:15Z,4539
37,next.js,https://github.com/vercel/next.js,125626,2016-10-05T23:32:51Z,23774
38,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,125348,2020-02-19T09:01:23Z,463
39,go,https://github.com/golang/go,123396,2014-08-19T04:33:40Z,3719
40,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,121437,2017-11-29T17:35:03Z,1614
41,react-native,https://github.com/facebook/react-native,118619,2015-01-09T18:10:16Z,18694
42,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,117851,2016-07-05T05:00:48Z,538
43,electron,https://github.com/electron/electron,113887,2013-04-12T01:47:36Z,23157
44,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,111509,2022-12-05T13:54:13Z,301
45,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,111423,2013-11-04T01:59:19Z,434
46,PowerToys,https://github.com/microsoft/PowerToys,110376,2019-05-01T17:44:02Z,5468
47,kubernetes,https://github.com/kubernetes/kubernetes,110350,2014-06-06T22:56:04Z,80791
48,scrcpy,https://github.com/Genymobile/scrcpy,110140,2017-11-21T18:00:27Z,423
49,d3,https://github.com/d3/d3,108598,2010-09-27T17:22:42Z,1175
50,node,https://github.com/nodejs/node,107093,2014-11-26T19:57:11Z,34452
51,axios,https://github.com/axios/axios,105428,2014-08-18T22:30:27Z,1533
52,create-react-app,https://github.com/facebook/create-react-app,102646,2016-07-17T14:55:11Z,3805
53,three.js,https://github.com/mrdoob/three.js,102142,2010-03-23T18:58:01Z,16705
54,TypeScript,https://github.com/microsoft/TypeScript,100589,2014-06-17T15:28:39Z,17683
55,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,99619,2017-09-15T08:33:19Z,921
56,rust,https://github.com/rust-lang/rust,97533,2010-06-16T20:39:03Z,75724
57,hello-algo,https://github.com/krahets/hello-algo,96304,2022-11-04T11:08:34Z,1057
58,angular,https://github.com/angular/angular,95971,2014-09-18T16:12:01Z,28253
59,terminal,https://github.com/microsoft/terminal,95232,2017-08-11T18:38:22Z,4401
60,deno,https://github.com/denoland/deno,94925,2018-05-15T01:34:26Z,13849
61,material-ui,https://github.com/mui/material-ui,93578,2014-08-18T19:11:54Z,23233
62,langchain,https://github.com/langchain-ai/langchain,93297,2022-10-17T02:58:36Z,15166
63,ollama,https://github.com/ollama/ollama,92816,2023-06-26T19:39:32Z,2132
64,ant-design,https://github.com/ant-design/ant-design,92107,2015-04-24T15:37:24Z,18165
65,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,91453,2016-11-25T22:25:41Z,252
66,godot,https://github.com/godotengine/godot,90046,2014-01-04T16:05:36Z,41175
67,java-design-patterns,https://github.com/iluwatar/java-design-patterns,89621,2014-08-09T16:45:18Z,2065
68,free-for-dev,https://github.com/ripienaar/free-for-dev,89093,2015-03-18T21:06:26Z,3372
69,puppeteer,https://github.com/puppeteer/puppeteer,88449,2017-05-09T22:16:13Z,6073
70,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,87704,2017-04-17T03:35:49Z,476
71,papers-we-love,https://github.com/papers-we-love/papers-we-love,87377,2013-12-15T14:31:41Z,516
72,frp,https://github.com/fatedier/frp,85178,2015-12-21T15:24:59Z,894
73,iptv,https://github.com/iptv-org/iptv,85169,2018-11-14T22:00:57Z,7109
74,thefuck,https://github.com/nvbn/thefuck,84997,2015-04-08T15:08:04Z,609
75,yt-dlp,https://github.com/yt-dlp/yt-dlp,84457,2020-10-26T04:22:55Z,2840
76,storybook,https://github.com/storybookjs/storybook,84180,2016-03-18T04:23:44Z,12711
77,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,83715,2016-03-30T15:47:10Z,108
78,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,83232,2020-11-10T02:44:00Z,811
79,tauri,https://github.com/tauri-apps/tauri,83082,2019-07-13T09:09:37Z,4926
80,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,83007,2017-08-24T13:18:26Z,144
81,pytorch,https://github.com/pytorch/pytorch,82837,2016-08-13T05:26:41Z,90707
82,excalidraw,https://github.com/excalidraw/excalidraw,82555,2020-01-02T01:04:43Z,4342
83,neovim,https://github.com/neovim/neovim,82422,2014-01-31T13:39:22Z,18138
84,tailwindcss,https://github.com/tailwindlabs/tailwindcss,82402,2017-10-06T14:59:14Z,2877
85,animate.css,https://github.com/animate-css/animate.css,80666,2011-10-12T10:07:38Z,887
86,realworld,https://github.com/gothinkster/realworld,80409,2016-02-26T20:49:53Z,835
87,app-ideas,https://github.com/florinpop17/app-ideas,79658,2019-02-25T18:36:56Z,337
88,django,https://github.com/django/django,79572,2012-04-28T02:47:18Z,18351
89,nvm,https://github.com/nvm-sh/nvm,79431,2010-04-15T17:47:47Z,1017
90,bitcoin,https://github.com/bitcoin/bitcoin,78791,2010-12-19T15:16:43Z,21105
91,svelte,https://github.com/sveltejs/svelte,78721,2016-11-20T18:13:05Z,5883
92,opencv,https://github.com/opencv/opencv,78460,2012-07-19T09:40:17Z,15197
