Index,Título do PR,URL,Data de Criação,Data de Fechamento,Total de Revisões,Decisão da Revisão,Total de Adições,Total de Remoções,Total de Arquivos Alterados,Comprimento da Descrição,Tempo de Análise (horas),Total de Comentários,Total de Participantes
16,list responsibilities,https://github.com/kamranahmedse/developer-roadmap/pull/84,2017-03-27T00:18:10Z,2017-03-27T02:21:01Z,0,MERGED,24,9,6,54,2.0475,1,3
17,add perl5 to backend map,https://github.com/kamranahmedse/developer-roadmap/pull/91,2017-03-28T10:47:13Z,2017-04-01T17:05:52Z,0,MERGED,1,1,1,1204,102.31083333333333,1,2
18,added zabbix for monitoring and alerting,https://github.com/kamranahmedse/developer-roadmap/pull/94,2017-03-28T12:57:39Z,2017-04-01T16:54:49Z,0,MERGED,2,2,2,76,99.95277777777778,2,3
19,minor spelling and grammar edit in intro text,https://github.com/kamranahmedse/developer-roadmap/pull/98,2017-03-28T16:01:27Z,2017-04-01T16:55:49Z,0,MERGED,1,1,1,42,96.90611111111112,0,2
20,Added Full Poster,https://github.com/kamranahmedse/developer-roadmap/pull/104,2017-03-29T06:10:45Z,2017-04-01T17:20:31Z,0,MERGED,0,0,1,161,83.16277777777778,3,2
21,Adding Cloud Foundry in devops trail,https://github.com/kamranahmedse/developer-roadmap/pull/111,2017-03-30T13:55:25Z,2017-04-01T16:53:15Z,0,MERGED,1,1,1,37,50.96388888888889,1,2
22,Update README.md,https://github.com/kamranahmedse/developer-roadmap/pull/114,2017-04-01T23:40:15Z,2017-07-28T11:27:05Z,0,MERGED,2,2,1,145,2819.7805555555556,0,2
23,Update README.md,https://github.com/kamranahmedse/developer-roadmap/pull/115,2017-04-02T04:24:24Z,2017-04-02T06:07:04Z,0,MERGED,1,1,1,19,1.711111111111111,1,2
24,Update README.md,https://github.com/kamranahmedse/developer-roadmap/pull/116,2017-04-02T14:55:53Z,2017-07-28T11:26:19Z,0,MERGED,1,1,1,0,2804.507222222222,0,2
25,Added Windows OS,https://github.com/kamranahmedse/developer-roadmap/pull/118,2017-04-05T06:25:00Z,2017-07-28T11:25:38Z,0,MERGED,2,2,3,47,2741.0105555555556,2,3
26,add SDN,https://github.com/kamranahmedse/developer-roadmap/pull/120,2017-04-06T11:05:59Z,2017-07-28T11:24:11Z,0,MERGED,1,1,1,0,2712.3033333333333,0,2
